Customer_ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Tenure_Months,Products_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Available_Credit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Stay_Probability,NB_Churn_Probability,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Card_Blue,Card_Gold,Card_Platinum,Card_Silver
768805383,0,45.0,0,3,3,2,39.0,5,1.0,3.0,12691.0,777,11914.0,1.201,1144.0,42,1.172,0.061,9.3448e-05,0.99991,False,True,False,False,True,False,False,False
818770008,0,49.0,1,5,2,4,44.0,6,1.0,2.0,8256.0,864,7392.0,1.201,1291.0,33,1.172,0.105,5.6861e-05,0.99994,False,False,True,False,True,False,False,False
713982108,0,51.0,0,3,2,3,36.0,4,1.0,0.5,3418.0,0,3418.0,1.201,1887.0,20,1.172,0.0,2.1081e-05,0.99998,False,True,False,False,True,False,False,False
769911858,0,40.0,1,4,3,4,34.0,3,4.0,1.0,3313.0,2517,796.0,1.201,1171.0,20,1.172,0.76,0.00013366,0.99987,False,False,False,True,True,False,False,False
709106358,0,40.0,0,3,5,2,21.0,5,1.0,0.5,4716.0,0,4716.0,1.201,816.0,28,1.172,0.0,2.1676e-05,0.99998,False,True,False,False,True,False,False,False
713061558,0,44.0,0,2,2,1,36.0,3,1.0,2.0,4010.0,1247,2763.0,1.201,1088.0,24,0.846,0.311,5.5077e-05,0.99994,False,True,False,False,True,False,False,False
810347208,0,51.0,0,4,6,0,46.0,6,1.0,3.0,23836.25,2264,22660.75,1.201,1330.0,31,0.722,0.066,0.00012303,0.99988,False,True,False,False,False,True,False,False
818906208,0,32.0,0,0,3,2,27.0,2,2.0,2.0,23836.25,1396,22660.75,1.201,1538.0,36,0.714,0.048,8.5795e-05,0.99991,False,False,False,True,False,False,False,True
710930508,0,37.0,0,3,5,2,36.0,5,2.0,0.5,22352.0,2517,19835.0,1.201,1350.0,24,1.172,0.113,4.4796e-05,0.99996,False,False,True,False,True,False,False,False
719661558,0,48.0,0,2,2,3,36.0,6,3.0,3.0,11656.0,1677,9979.0,1.201,1441.0,32,0.882,0.144,0.00030251,0.9997,False,False,True,False,True,False,False,False
708790833,0,42.0,0,5,5,0,31.0,5,3.0,2.0,6748.0,1467,5281.0,0.831,1201.0,42,0.68,0.217,0.00019094,0.99981,False,False,False,True,True,False,False,False
